Date : 2023-12-30 05:11:06
Directory : c:\flutter\graduation project\takaful
Total : 210 files,  9913 codes, 1185 comments, 992 blanks, all 12090 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |        162 |      8,313 |        922 |        733 |      9,968 |
| C++             |         16 |        569 |        121 |        182 |        872 |
| XML             |         10 |        473 |         48 |         12 |        533 |
| JSON            |          7 |        301 |          0 |          4 |        305 |
| Gradle          |          3 |         80 |          5 |         19 |        104 |
| Swift           |          4 |         60 |          3 |         12 |         75 |
| YAML            |          2 |         51 |         70 |         11 |        132 |
| HTML            |          1 |         38 |         16 |          6 |         60 |
| Markdown        |          2 |         16 |          0 |          8 |         24 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Java            |          1 |          4 |          0 |          3 |          7 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                               |        210 |      9,913 |      1,185 |        992 |     12,090 |
| . (Files)                                                                                                                                                                       |          3 |         64 |         70 |         17 |        151 |
| android                                                                                                                                                                         |         14 |        200 |         51 |         33 |        284 |
| android (Files)                                                                                                                                                                 |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                                                                                     |         10 |        157 |         51 |         22 |        230 |
| android\app (Files)                                                                                                                                                             |          2 |         84 |          5 |         10 |         99 |
| android\app\src                                                                                                                                                                 |          8 |         73 |         46 |         12 |        131 |
| android\app\src\debug                                                                                                                                                           |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                                                                            |          6 |         65 |         38 |         10 |        113 |
| android\app\src\main (Files)                                                                                                                                                    |          1 |         35 |          6 |          1 |         42 |
| android\app\src\main\java                                                                                                                                                       |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\com                                                                                                                                                   |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\com\example                                                                                                                                           |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\com\example\takaful                                                                                                                                   |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                                                                                                        |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                                                               |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                                           |          1 |          4 |          7 |          2 |         13 |
