"filename", "language", "YAML", "JSON", "Swift", "HTML", "XML", "C++", "Markdown", "Dart", "Gradle", "Java Properties", "Java", "comment", "blank", "total"
"c:\flutter\graduation project\takaful\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"c:\flutter\graduation project\takaful\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\flutter\graduation project\takaful\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 5, 10, 60
"c:\flutter\graduation project\takaful\android\app\google-services.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\flutter\graduation project\takaful\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\flutter\graduation project\takaful\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 1, 42
"c:\flutter\graduation project\takaful\android\app\src\main\java\com\example\takaful\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\flutter\graduation project\takaful\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\flutter\graduation project\takaful\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\flutter\graduation project\takaful\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\flutter\graduation project\takaful\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\flutter\graduation project\takaful\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\flutter\graduation project\takaful\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\flutter\graduation project\takaful\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\flutter\graduation project\takaful\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\flutter\graduation project\takaful\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\flutter\graduation project\takaful\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
